title,author,genre,rating,status,origin_country,year
The Naughtiest Girl Helps a Friend,Enid Blyton,Children,,,United Kingdom,1951
The Naughtiest Girl Keeps a Secret (x2),Enid Blyton,Children,,,United Kingdom,1952
Clarice Bean Utterly Me,Lauren Child,Children,,,United Kingdom,2002
The Tale of the Flopsy Bunnies,Beatrix Potter,Children,,,United Kingdom,1909
The Magic Porridge Pot,Brothers Grimm,Children,,,Germany,1812
The Tale of Squirrel Nutkin,Beatrix Potter,Children,,,United Kingdom,1903
Anne's House of Dreams,L. M. Montgomery,Fiction,,,Canada,1917
Scaredy Squirrel,Mélanie Watt,Children,,,Canada,2006
One Dog and His Boy,Eva Ibbotson,Children,,,United Kingdom,2011
To Kill a Mockingbird,Harper Lee,Fiction,,,United States,1960
Wonder,R. J. Palacio,Children,,,United States,2012
The Famous Five: Five Go Off in a Caravan,Enid Blyton,Children,,,United Kingdom,1946
The Explorer,Katherine Rundell,Children,,,United Kingdom,2017
Holes (x2),Louis Sachar,Children,,,United States,1998
101 Things to Do Instead of Playing on Your Phone,N/A,Psychology,,,N/A,N/A
Did Ye Hear Mammy Died?,Seamas O'Reilly,Biography,,,Ireland,2022
Fields of Home,N/A,History,,,Ireland,1980
A Series of Unfortunate Events: The Bad Beginning,Lemony Snicket (Daniel Handler),Children,,,United States,1999
The Amazing Story of Adolphus Tips,Michael Morpurgo,Children,,,United Kingdom,2005
Lola Rose,Jacqueline Wilson,Children,,,United Kingdom,2003
Summer's Shadow,N/A,Fiction,,,N/A,N/A
Who Moved My Cheese?,Spencer Johnson,Psychology,,,United States,1998
Harry Potter and the Prisoner of Azkaban (x2),J. K. Rowling,Fantasy,,,United Kingdom,1999
Born to Run,Michael Morpurgo,Children,,,United Kingdom,2007
When We Were Very Young / Now We Are Six,A. A. Milne,Children,,,United Kingdom,1924
A Series of Unfortunate Events: The Reptile Room,Lemony Snicket (Daniel Handler),Children,,,United States,1999
The Ghost of Grania O'Malley,Michael Morpurgo,Children,,,United Kingdom,1996
The Hate U Give,Angie Thomas,Fiction,,,United States,2017
Inverting the Pyramid,Jonathan Wilson,Reference,,,United Kingdom,2008
One of Us Is Lying,Karen M. McManus,Mystery,,,United States,2017
The Chimney Corner Collection,N/A,Essays,,,Ireland,2002
The Month of Borrowed Dreams,Frances Roberts (presumed),Fiction,,,Ireland,2001
Demon Dentist,David Walliams,Children,,,United Kingdom,2013
Billionaire Boy,David Walliams,Children,,,United Kingdom,2010
Sky the Blue Fairy,Daisy Meadows,Children,,,United Kingdom,2005
Ottoline at Sea,Chris Riddell,Children,,,United Kingdom,2008
Here's the Naughtiest Girl,Enid Blyton,Children,,,United Kingdom,1945
